Experiment,Group,Subject,TrialType,Kind,Object,Rating
2,CB,CB4,Filler,Natural,tree branch,1
2,CB,CB4,Filler,Natural,pebble,5
2,CB,CB4,Filler,Natural,seashell,6
2,CB,CB4,Filler,Natural,orange,7
2,CB,CB4,Filler,Natural,sand,7
2,CB,CB4,Filler,Natural,watermelon,5
2,CB,CB4,Filler,Natural,mouse,7
2,CB,CB4,Filler,Natural,acorn,7
2,CB,CB4,Filler,Natural,snake,7
2,CB,CB4,Filler,Natural,pineapple,7
2,CB,CB4,Filler,Artifact,chair,2
2,CB,CB4,Filler,Artifact,coffee table,4
2,CB,CB4,Filler,Artifact,knife,5
2,CB,CB4,Filler,Artifact,rug,4
2,CB,CB4,Filler,Artifact,coat,5
2,CB,CB4,Filler,Artifact,bowl,5
2,CB,CB4,Filler,Artifact,door,7
2,CB,CB5,Color,Natural,strawberry,5
2,CB,CB5,Color,Natural,banana,4
2,CB,CB5,Color,Natural,broccoli,5
2,CB,CB5,Color,Natural,lemon,6
2,CB,CB5,Color,Natural,coal,5
2,CB,CB5,Color,Natural,snow,6
2,CB,CB5,Color,Natural,flamingo,3
2,CB,CB5,Color,Natural,elephant,2
2,CB,CB5,Color,Natural,ruby,6
2,CB,CB5,Color,Natural,pearl,4
2,CB,CB5,Color,ArtifactFC,go traffic,7
2,CB,CB5,Color,ArtifactFC,fire truck,7
2,CB,CB5,Color,ArtifactFC,basketball,3
2,CB,CB5,Color,ArtifactFC,taxi cab,5
2,CB,CB5,Color,ArtifactFC,police uniform,5
2,CB,CB5,Color,ArtifactFC,dollar bill,5
2,CB,CB5,Color,ArtifactFC,tennis ball,5
2,CB,CB5,Color,ArtifactFC,chalkboard,6
2,CB,CB5,Color,ArtifactNFC,toilet,3
2,CB,CB5,Color,ArtifactFC,street sign,5
2,CB,CB5,Color,ArtifactNFC,pants,3
2,CB,CB5,Color,ArtifactNFC,mug,4
2,CB,CB5,Color,ArtifactNFC,book,3
2,CB,CB5,Color,ArtifactNFC,purse,2
2,CB,CB5,Color,ArtifactFC,crayon,2
2,CB,CB5,Color,ArtifactNFC,lunch box,2
2,CB,CB5,Color,ArtifactNFC,suitcase,2
2,CB,CB5,Color,ArtifactNFC,couch,3
2,CB,CB5,Color,ArtifactNFC,shoes,3
2,CB,CB5,Color,ArtifactNFC,vacuum,2
2,CB,CB5,Function,Natural,wood,4
2,CB,CB5,Function,Natural,rock,2
2,CB,CB5,Function,Natural,mud,2
2,CB,CB5,Function,Natural,gold,4
2,CB,CB5,Function,Natural,grass,3
2,CB,CB5,Function,Natural,leaf,1
2,CB,CB5,Function,Natural,tree bark,5
2,CB,CB5,Function,Natural,water,2
2,CB,CB5,Function,Natural,dirt,3
2,CB,CB5,Function,Natural,flower,3
2,CB,CB5,Function,Artifact,hole puncher,7
2,CB,CB5,Function,Artifact,stapler,6
2,CB,CB5,Function,Artifact,hammer,2
2,CB,CB5,Function,Artifact,drill,6
2,CB,CB5,Function,Artifact,iron,6
2,CB,CB5,Function,Artifact,toaster,6
2,CB,CB5,Function,Artifact,coffee maker,6
2,CB,CB5,Function,Artifact,bed,4
2,CB,CB5,Function,Artifact,pencil,5
2,CB,CB5,Function,Artifact,bathtub,6
2,CB,CB5,Filler,Natural,dog,2
2,CB,CB5,Filler,Natural,pumpkin,2
2,CB,CB5,Filler,Natural,cucumber,5
2,CB,CB5,Filler,Natural,tree branch,3
2,CB,CB5,Filler,Natural,pebble,1
2,CB,CB5,Filler,Natural,seashell,1
2,CB,CB5,Filler,Natural,orange,6
2,CB,CB5,Filler,Natural,sand,5
2,CB,CB5,Filler,Natural,watermelon,4
2,CB,CB5,Filler,Natural,mouse,6
2,CB,CB5,Filler,Natural,acorn,5
2,CB,CB5,Filler,Natural,snake,3
2,CB,CB5,Filler,Natural,pineapple,6
2,CB,CB5,Filler,Artifact,chair,5
2,CB,CB5,Filler,Artifact,coffee table,5
2,CB,CB5,Filler,Artifact,knife,3
2,CB,CB5,Filler,Artifact,rug,1
2,CB,CB5,Filler,Artifact,coat,5
2,CB,CB5,Filler,Artifact,bowl,4
2,CB,CB5,Filler,Artifact,door,7
2,CB,CB6,Color,Natural,strawberry,7
2,CB,CB6,Color,Natural,banana,7
2,CB,CB6,Color,Natural,broccoli,7
2,CB,CB6,Color,Natural,lemon,7
2,CB,CB6,Color,Natural,coal,7
2,CB,CB6,Color,Natural,snow,6
2,CB,CB6,Color,Natural,flamingo,7
2,CB,CB6,Color,Natural,elephant,5
2,CB,CB6,Color,Natural,ruby,7
2,CB,CB6,Color,Natural,pearl,3
2,CB,CB6,Color,ArtifactFC,go traffic,7
2,CB,CB6,Color,ArtifactFC,fire truck,7
2,CB,CB6,Color,ArtifactFC,basketball,6
2,CB,CB6,Color,ArtifactFC,taxi cab,5
2,CB,CB6,Color,ArtifactFC,police uniform,7
2,CB,CB6,Color,ArtifactFC,dollar bill,7
2,CB,CB6,Color,ArtifactFC,tennis ball,5
2,CB,CB6,Color,ArtifactFC,chalkboard,7
2,CB,CB6,Color,ArtifactNFC,toilet,7
2,CB,CB6,Color,ArtifactFC,street sign,7
2,CB,CB6,Color,ArtifactNFC,pants,5
2,CB,CB6,Color,ArtifactNFC,mug,4
2,CB,CB6,Color,ArtifactNFC,book,1
2,CB,CB6,Color,ArtifactNFC,purse,4
2,CB,CB6,Color,ArtifactFC,crayon,1
2,CB,CB6,Color,ArtifactNFC,lunch box,5
2,CB,CB6,Color,ArtifactNFC,suitcase,4
2,CB,CB6,Color,ArtifactNFC,couch,5
2,CB,CB6,Color,ArtifactNFC,shoes,3
2,CB,CB6,Color,ArtifactNFC,vacuum,6
2,CB,CB6,Function,Natural,wood,4
2,CB,CB6,Function,Natural,rock,4
2,CB,CB6,Function,Natural,mud,2
2,CB,CB6,Function,Natural,gold,1
2,CB,CB6,Function,Natural,grass,5
2,CB,CB6,Function,Natural,leaf,5
2,CB,CB6,Function,Natural,tree bark,1
2,CB,CB6,Function,Natural,water,4
2,CB,CB6,Function,Natural,dirt,5
2,CB,CB6,Function,Natural,flower,5
2,CB,CB6,Function,Artifact,hole puncher,7
2,CB,CB6,Function,Artifact,stapler,7
2,CB,CB6,Function,Artifact,hammer,7
2,CB,CB6,Function,Artifact,drill,7
2,CB,CB6,Function,Artifact,iron,6
2,CB,CB6,Function,Artifact,toaster,7
2,CB,CB6,Function,Artifact,coffee maker,6
2,CB,CB6,Function,Artifact,bed,4
2,CB,CB6,Function,Artifact,pencil,6
2,CB,CB6,Function,Artifact,bathtub,7
2,CB,CB6,Filler,Natural,dog,1
2,CB,CB6,Filler,Natural,pumpkin,5
2,CB,CB6,Filler,Natural,cucumber,6
2,CB,CB6,Filler,Natural,tree branch,1
2,CB,CB6,Filler,Natural,pebble,1
2,CB,CB6,Filler,Natural,seashell,5
2,CB,CB6,Filler,Natural,orange,7
2,CB,CB6,Filler,Natural,sand,6
2,CB,CB6,Filler,Natural,watermelon,6
2,CB,CB6,Filler,Natural,mouse,7
2,CB,CB6,Filler,Natural,acorn,7
2,CB,CB6,Filler,Natural,snake,7
2,CB,CB6,Filler,Natural,pineapple,7
2,CB,CB6,Filler,Artifact,chair,5
2,CB,CB6,Filler,Artifact,coffee table,6
2,CB,CB6,Filler,Artifact,knife,1
2,CB,CB6,Filler,Artifact,rug,1
2,CB,CB6,Filler,Artifact,coat,4
2,CB,CB6,Filler,Artifact,bowl,1
2,CB,CB6,Filler,Artifact,door,5
2,CB,CB7,Color,Natural,strawberry,6
2,CB,CB7,Color,Natural,banana,5
2,CB,CB7,Color,Natural,broccoli,5
2,CB,CB7,Color,Natural,lemon,7
2,CB,CB7,Color,Natural,coal,6
2,CB,CB7,Color,Natural,snow,6
2,CB,CB7,Color,Natural,flamingo,6
2,CB,CB7,Color,Natural,elephant,6
2,CB,CB7,Color,Natural,ruby,7
2,CB,CB7,Color,Natural,pearl,6
2,CB,CB7,Color,ArtifactFC,go traffic,7
2,CB,CB7,Color,ArtifactFC,fire truck,7
2,CB,CB7,Color,ArtifactFC,basketball,7
2,CB,CB7,Color,ArtifactFC,taxi cab,6
