Object,Experiment,Kind,subjID,Rating
fork,3,ArtifactNFC,s17,1
laptop,3,ArtifactNFC,s17,1
pen,3,ArtifactNFC,s17,6
soap,3,ArtifactNFC,s17,1
table,3,ArtifactNFC,s17,1
towel,3,ArtifactNFC,s17,1
go traffic,2,AritfactFC,s18,7
basketball,2,AritfactFC,s18,1
chalkboard,2,AritfactFC,s18,3
dollar bill,2,AritfactFC,s18,4
fire truck,2,AritfactFC,s18,6
lab coat,2,AritfactFC,s18,3
police uniform,2,AritfactFC,s18,4
street sign,2,AritfactFC,s18,6
taxi cab,2,AritfactFC,s18,4
tennis ball,2,AritfactFC,s18,1
toilet,2,AritfactFC,s18,1
book,2,ArtifactNFC,s18,1
couch,2,ArtifactNFC,s18,1
crayon,2,ArtifactNFC,s18,7
lunch box,2,ArtifactNFC,s18,1
mug,2,ArtifactNFC,s18,1
pants,2,ArtifactNFC,s18,1
shoes,2,ArtifactNFC,s18,1
purse,2,ArtifactNFC,s18,1
suitcase,2,ArtifactNFC,s18,1
vacuum,2,ArtifactNFC,s18,1
coin,3,AritfactFC,s18,2
military uniform,3,AritfactFC,s18,5
paper,3,AritfactFC,s18,4
recycling bin,3,AritfactFC,s18,3
school bus,3,AritfactFC,s18,3
stop sign,3,AritfactFC,s18,7
wedding dress,3,AritfactFC,s18,1
car,3,ArtifactNFC,s18,1
cup,3,ArtifactNFC,s18,1
fork,3,ArtifactNFC,s18,1
laptop,3,ArtifactNFC,s18,1
pen,3,ArtifactNFC,s18,5
soap,3,ArtifactNFC,s18,1
table,3,ArtifactNFC,s18,1
towel,3,ArtifactNFC,s18,1
go traffic,2,AritfactFC,s19,7
basketball,2,AritfactFC,s19,5
chalkboard,2,AritfactFC,s19,5
dollar bill,2,AritfactFC,s19,3
fire truck,2,AritfactFC,s19,6
lab coat,2,AritfactFC,s19,3
police uniform,2,AritfactFC,s19,2
street sign,2,AritfactFC,s19,7
taxi cab,2,AritfactFC,s19,4
tennis ball,2,AritfactFC,s19,6
toilet,2,AritfactFC,s19,1
book,2,ArtifactNFC,s19,1
couch,2,ArtifactNFC,s19,3
crayon,2,ArtifactNFC,s19,7
lunch box,2,ArtifactNFC,s19,1
mug,2,ArtifactNFC,s19,2
pants,2,ArtifactNFC,s19,4
shoes,2,ArtifactNFC,s19,6
purse,2,ArtifactNFC,s19,6
suitcase,2,ArtifactNFC,s19,2
vacuum,2,ArtifactNFC,s19,1
coin,3,AritfactFC,s19,5
military uniform,3,AritfactFC,s19,7
paper,3,AritfactFC,s19,7
recycling bin,3,AritfactFC,s19,6
school bus,3,AritfactFC,s19,6
stop sign,3,AritfactFC,s19,7
wedding dress,3,AritfactFC,s19,6
car,3,ArtifactNFC,s19,2
cup,3,ArtifactNFC,s19,2
fork,3,ArtifactNFC,s19,1
laptop,3,ArtifactNFC,s19,2
pen,3,ArtifactNFC,s19,6
soap,3,ArtifactNFC,s19,2
table,3,ArtifactNFC,s19,1
towel,3,ArtifactNFC,s19,2
go traffic,2,AritfactFC,s20,7
basketball,2,AritfactFC,s20,2
chalkboard,2,AritfactFC,s20,7
dollar bill,2,AritfactFC,s20,2
fire truck,2,AritfactFC,s20,7
lab coat,2,AritfactFC,s20,7
police uniform,2,AritfactFC,s20,7
