Group,Subject,TrialType,Kind,KindNew,Object,Rating
CB,CB12,Filler,Natural,Natural,Yobal,5
CB,CB12,Filler,Natural,Natural,Walla,7
CB,CB12,Filler,Natural,Natural,Chom,4
CB,CB12,Filler,Natural,Natural,Hyto,3
CB,CB12,Filler,Natural,Natural,Drapa,3
CB,CB12,Filler,Natural,Natural,Uzoo,5
CB,CB12,Filler,Natural,Natural,Jox,4
CB,CB13,Color,Natural,Natural,Atto,7
CB,CB13,Color,Natural,Natural,Onz,7
CB,CB13,Color,Natural,Natural,Stime,7
CB,CB13,Color,Natural,Natural,Enly,7
CB,CB13,Color,Natural,Natural,Blairo,7
CB,CB13,Color,ArtifactFC,ArtifactFC,Bewt,3
CB,CB13,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB13,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB13,Color,ArtifactFC,ArtifactFC,Bollop,7
CB,CB13,Color,ArtifactFC,ArtifactFC,Reeka,5
CB,CB13,Color,ArtifactNFC,ArtifactNFC,Kanpa,3
CB,CB13,Color,ArtifactNFC,ArtifactNFC,Flut,7
CB,CB13,Color,ArtifactNFC,ArtifactNFC,Meepa,3
CB,CB13,Color,ArtifactNFC,ArtifactFC,Cano,3
CB,CB13,Color,ArtifactNFC,ArtifactNFC,Maxus,6
CB,CB13,Function,Natural,Natural,Koshi,3
CB,CB13,Function,Natural,Natural,Poom,2
CB,CB13,Function,Natural,Natural,Borg,4
CB,CB13,Function,Natural,Natural,Norpee,7
CB,CB13,Function,Natural,Natural,Irve,3
CB,CB13,Function,Artifact,Artifact,Xenop,6
CB,CB13,Function,Artifact,Artifact,Trint,7
CB,CB13,Function,Artifact,Artifact,Soof,6
CB,CB13,Function,Artifact,Artifact,Quag,3
CB,CB13,Function,Artifact,Artifact,Olan,2
CB,CB13,Filler,Artifact,Artifact,Gep,4
CB,CB13,Filler,Artifact,Artifact,Desh,4
CB,CB13,Filler,Artifact,Artifact,Nox,4
CB,CB13,Filler,Natural,Natural,Yobal,7
CB,CB13,Filler,Natural,Natural,Walla,7
CB,CB13,Filler,Natural,Natural,Chom,7
CB,CB13,Filler,Natural,Natural,Hyto,3
CB,CB13,Filler,Natural,Natural,Drapa,1
CB,CB13,Filler,Natural,Natural,Uzoo,3
CB,CB13,Filler,Natural,Natural,Jox,3
CB,CB14,Color,Natural,Natural,Atto,7
CB,CB14,Color,Natural,Natural,Onz,3
CB,CB14,Color,Natural,Natural,Stime,4
CB,CB14,Color,Natural,Natural,Enly,7
CB,CB14,Color,Natural,Natural,Blairo,7
CB,CB14,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB14,Color,ArtifactFC,ArtifactNFC,Arn,4
CB,CB14,Color,ArtifactFC,ArtifactFC,Topee,5
CB,CB14,Color,ArtifactFC,ArtifactFC,Bollop,7
CB,CB14,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB14,Color,ArtifactNFC,ArtifactNFC,Kanpa,5
CB,CB14,Color,ArtifactNFC,ArtifactNFC,Flut,4
CB,CB14,Color,ArtifactNFC,ArtifactNFC,Meepa,4
CB,CB14,Color,ArtifactNFC,ArtifactFC,Cano,5
CB,CB14,Color,ArtifactNFC,ArtifactNFC,Maxus,5
CB,CB14,Function,Natural,Natural,Koshi,5
CB,CB14,Function,Natural,Natural,Poom,5
CB,CB14,Function,Natural,Natural,Borg,6
CB,CB14,Function,Natural,Natural,Norpee,6
CB,CB14,Function,Natural,Natural,Irve,4
CB,CB14,Function,Artifact,Artifact,Xenop,6
CB,CB14,Function,Artifact,Artifact,Trint,7
CB,CB14,Function,Artifact,Artifact,Soof,7
CB,CB14,Function,Artifact,Artifact,Quag,7
CB,CB14,Function,Artifact,Artifact,Olan,7
CB,CB14,Filler,Artifact,Artifact,Gep,7
CB,CB14,Filler,Artifact,Artifact,Desh,5
CB,CB14,Filler,Artifact,Artifact,Nox,6
CB,CB14,Filler,Natural,Natural,Yobal,7
CB,CB14,Filler,Natural,Natural,Walla,7
CB,CB14,Filler,Natural,Natural,Chom,7
CB,CB14,Filler,Natural,Natural,Hyto,3
CB,CB14,Filler,Natural,Natural,Drapa,7
CB,CB14,Filler,Natural,Natural,Uzoo,7
CB,CB14,Filler,Natural,Natural,Jox,7
CB,CB15,Color,Natural,Natural,Atto,6
